Username,Text,Hashtags,Followers,Friends
UndyingHunter,RT @proustmalone: Bernie Sanders has won more elections for federal office (11) than Joe Biden and Kamala Harris combined. https://t.co/HF3…,,270,909
sfguy1818, Joe Biden has not yet promised to close the for-profit detention camps on the US/Mexico border.,,1446,2647
EBree18,RT @realDonaldTrump: I did more in 47 months as President than Sleepy Joe Biden did in 47 years! #MAGA https://t.co/EzcAswmrYE,['MAGA'],17154,17080
tjmadaras," I am running for re-election to bring prosperity to Nevada, to put violent criminals behind bars, and to ensure the fu…",,1296,818
civildevil17,"@realDonaldTrump  Sir, If you really want to win, you must support INDIA.  You will be amazed how loyal Indians can… https://t.co/gfqvemmr6R",,0,14
HeidiForLiberty,"@america1timfaze @realDonaldTrump @POTUS Ty Mr. President!
#HidenBiden beholden to terrorists. What was Biden's big… https://t.co/vlBI6iUpUz",['HidenBiden'],4931,4655
AudreySAutrey," It is Sunday, September 13, 2020. One citizen, I call for the removal from office by any legal means, the impeached fascis…",,8163,8975
TeriMcComsey,RT @TrumpStudents: Things you’ll never see at a Biden Campaign event: https://t.co/V9Lsf8yEZT,,660,270
nanakx3," Are you voting for @JoeBiden this Election? 
If Yes , please Retweet because I’d like to follow you.",,21,163
Jaden_fire_tech," The reason Joe Biden always squints when he’s talking isn’t because he’s an arrogant asshole (although he is that), it’s bec…",,15,20
ChuckOnions, It’s gonna be fun to vote Trump out.  Let’s make it a landslide party.,,169,210
PoliceB87206416," If you are voting for @JoeBiden , please Retweet because I would like to follow you.
Thank you!",,78,143
Vince_Esq," If you are voting for @JoeBiden , please Retweet because I would like to follow you.
Thank you!",,20,144
LeroyOsborne2," If you are voting for @JoeBiden , please Retweet because I would like to follow you.
Thank you!",,3119,4971
mom2gbd, @RealJamesWoods And yet literally millions of Americans will eagerly vote for Biden.,,1938,50
JoyceMcDonaldWA," I am running for re-election to bring prosperity to Nevada, to put violent criminals behind bars, and to ensure the fu…",,342,104
CapsCowboy," @thehill 🚨 Businesses Currently 
🔥BOOMING🔥 under  #Trump

#Funeral homes

#foodbanks 

#homeless shelters 

#Bankruptc…","['Trump', 'Funeral', 'foodbanks', 'homeless']",8,95
zorn17, As a Pediatric ER physician I can attest that it wasn’t until after President Trump was elected that there were protocols an…,,3470,3373
Kall558, ...The far-left maniacs supporting Joe Biden are burning flags and chanting “America was never great.” But we know the…,,175,312
TonyAaronII," I’m a reporter covering Biden and traveled with him this week to Pennsylvania twice, Michigan and New York. None of those state…",,2598,767
PeterDodge10,@jtgriffin @mbracemoore @JoeBiden Every president? Maybe. But. Some functioned without them as well. Biden doesn't.… https://t.co/gwrOcOdbJu,,0,73
QDrop9941942,RT @realDonaldTrump: I did more in 47 months as President than Sleepy Joe Biden did in 47 years! #MAGA https://t.co/EzcAswmrYE,['MAGA'],1568,3917
noahvbuckley,@Tipea @Enrique13228079 It’s unconscionable that the DNC and Biden would rather risk four more years of Trump than… https://t.co/GgrMPWvIhi,,594,878
BeeThomas12," Biden is hemorrhaging Black and Hispanic support.

His campaign is imploding faster than we thought.",,1466,2408
TheBusinessNet,RT @guardian: Trump doesn't care if wildfires destroy the west – it didn't vote for him | Robert Reich https://t.co/u5RVhohOUc,,177,776
qewperp," .@BernieSanders has privately criticized @JoeBiden campaign's obsessive courting of Republicans, warmongers, and water…",,92,243
seattlemoose,@AnnArborForPete @JoeBiden 51 days (50 days if you're on the East Coast).,,256,925
SHOWMEAMERICA, ...The far-left maniacs supporting Joe Biden are burning flags and chanting “America was never great.” But we know the…,,1254,2430
b00terr0r," Are you voting for @JoeBiden this Election? 
If Yes , please Retweet because I’d like to follow you.",,981,1817
JustJoey831,trump is stuck at8.5 m lets do this!,,2534,3047
sylviaIsweet1,"@Rageoverrun @Scaramucci @JoeBiden @realDonaldTrump BIden has not said, "" I didn't actually mean that, Biden says w… https://t.co/4OQfgjMfNV",,163,220
Trey_VonDinkis," .
🍕 PEDO WATCH - CUTIES

Leftists &amp; Media go ALL-in to Push their Agenda of Pedophilia - Telegraph Reviewer Defends Net…",,130257,100667
PitchForks_R_Us,"RT @aishaismad: 1992: Bill Clinton
1996: Bill Clinton
2000: Al Gore (Clinton VP)
2004: John Kerry (Obama SoS)
2008: Barack Obama
2012: Bara…",,703,1298
rn_shore," I am running for re-election to bring prosperity to Nevada, to put violent criminals behind bars, and to ensure the fu…",,5,26
dynatre3," I am running for re-election to bring prosperity to Nevada, to put violent criminals behind bars, and to ensure the fu…",,6220,6826
Bocephus24," I'm voting for @JoeBiden, my favorite President. Who's with me?",,20,84
rjmurcek,"RT @mrddmia: Dear @JoeBiden:

Your turn.",,200,648
TRUTH001001, Why isn’t Biden winning 80%-20%?,,4,13
LPetloon54," It appears Joe accidentally revealed a screen with teleprompter text in front of him during an April tv interview.

He he…",,1279,716
kdoright, We have to amplify @JoeBiden’s presence on this platform. It’s crazy that @realDonaldTrump has so many more followers - or le…,,3623,4472
mopatop1710," Retweet if you want to help @JoeBiden get another 100,000 followers this weekend",,7,182
Shambha54222913, Oh no. America has a tough choice to make.,,180,164
celebritykdawg5,"RT @JuddApatow: Read This: ""How Many Americans Died Because of Donald Trump’s Cruel Lies?"" https://t.co/T9WTfJeJj3",,100,181
Lornagwater,@kenolin1 @JoeBiden @realDonaldTrump I’m there. #BidenHarrisLandslide2020,['BidenHarrisLandslide2020'],87,259
StorinoCarmella,"RT @MajorPatriot: Trump is killing it in Nevada right now.

Biden got the early bird special at Sizzler and was in bed by 4:30 this afterno…",,9717,10468
jpvivier," If you are voting for @JoeBiden please Retweet, because I would like to follow you. Thank you!♥️",,440,816
4Civilization," I am running for re-election to bring prosperity to Nevada, to put violent criminals behind bars, and to ensure the fu…",,1700,3039
PamelaStates,"RT @JuddApatow: Read This: ""How Many Americans Died Because of Donald Trump’s Cruel Lies?"" https://t.co/T9WTfJeJj3",,74,220
kenvitiello,@JohnnyUrsuy @MaddyWalkedAway @bryonworks @AppleweedJonny @brian_happach @mmpadellan @realDonaldTrump I’m an Ex Rep… https://t.co/fVTg18jbxF,,689,779
IoneFos44501688, Joe Biden is going to win the election.,,31,211
kaymobile22,@michaelaWat @unclecrizzle Buuuuuut Biden says universal healthcare is too expensive.,,94,237
Fix8d2020, The man who claimed he lied to the public because he didn’t want to panic them is now trying to panic them over made up…,,17530,15313
cpujudy, As he sniffs too late and an eight ball flies out of his nose. Blood test for both because Trump will fake a urine test.…,,14732,14554
Stefny1Young,"RT @Emolclause: #BREAKING:Think about that-THE SAME @LindseyGrahamSC who has aided and abetted #Trump's HIDING of his #taxreturns, is now R…","['BREAKING', 'Trump', 'taxreturns']",1491,1338
notrealdemocrat,RT @Thomas1774Paine: Joe Biden Hosted An ‘Ask Me Anything.’ He Has Yet To Answer A Single Question. https://t.co/DbNaiSgWV4,,2308,1785
jessie_beaugard,"He's not joking and Trump won't be either November the 4th 

Roger Stone Calls For Trump To 'Declare Martial Law' T… https://t.co/MpnsullShy",,461,485
AHooger1," Thread about Florida. Trump MUST win Florida, period. No model has him losing Florida and winning 270 electoral votes. No…",,18,474
PamellaWildens2,@PartyboyAndrew @realDonaldTrump In 2014 Obama - Biden allowed a P4 lab to spread Anthrax Ebola &amp; H1N1 into our com… https://t.co/kygR7RVMap,,10,8
khoury_kat," Trump claims that Biden's election will ""permanently destroy the lives and dreams of tens of millions of Americans ... and lea…",,353,3076
chriswright35, It’s gonna be fun to vote Trump out.  Let’s make it a landslide party.,,665,4586
jcamerica1,Continues to mislead...Jesus Christ,,466,727
honeybadgermuma,@mattd546 @DCtheCapital @realDonaldTrump &amp; if you legitimately think I’m going to believe the man who screams that… https://t.co/DyCqGdeDod,,447,1113
loverboy12390," 🤔#BLM attacked @Joy_Villa and her friends calling them racist

🤪A #LARP calling blacks racist and shoving people?

➡️These are t…","['BLM', 'LARP']",2894,615
cswadeauthor, My smartest Democrat friend believes Biden’s campaign ads are true but Trump’s ads are lies. What the hell do I do with…,,2719,3982
ryux4x4,"RT @JDPHD2: 🗣️Nobel Peace Prize nominates DJT for UAE/Israel - Bahrain? 

🗣️A second for Serbia/Kosovo

🐀MSM quiet

🐀Dims $$$: Korea, Vietn…",,3100,3053
justsuz72, Antiwar President Donald Trump has launched more air and drone strikes in Somalia over just the last year than Barack Obam…,,111,686
LJPulaski, It’s gonna be fun to vote Trump out.  Let’s make it a landslide party.,,183,670
simplyksmith, We have to amplify @JoeBiden’s presence on this platform. It’s crazy that @realDonaldTrump has so many more followers - or le…,,1069,3814
TickTockTraitor,"RT @K_JeanPierre: Leadership. 
 https://t.co/NU2YC81bPK",,4839,5306
canine2," @realDonaldTrump
This is unprecedented, see people rushing &amp; running towards #Trump rally. Only the best President ever ge…",['Trump'],17107,17102
oliverartist,RT @TheKingIsBack80: @RealJamesWoods And the libs say Joe Biden is leading in the polls 😂🤣 https://t.co/5UlHscF3a9,,2552,1086
JTMontgomery8, We have to amplify @JoeBiden’s presence on this platform. It’s crazy that @realDonaldTrump has so many more followers - or le…,,3194,3961
givemepie360," A government-wide conspiracy to abet Russian interference in the election on Trump’s behalf, and deceive the public into…",,1578,533
McCl0ud,@SenTedCruz why are you promoting Biden,,50,161
saidydoll, Bloody Hell—Trump now attacking social distancing guidelines followed by  Biden campaign to reduce #COVID19 risk?! Talk abo…,['COVID19'],408,1611
DoctorPunchy," ""TRUMP ENERGY POLICY KEY TO REVIVING ECONOMY —BIDEN PLAN WOULD DESTROY JOBS,
RAISE ENERGY COSTS""
Biden’s approach to ener…",,1389,1055
DonnaHo03604393, @ProdigalSon2812 @marklevinshow I told someone weeks ago all Trump had to do was piss Biden off and he’d lose it like…,,226,210
FisherBurton,"@badvibesnochill @EoinHiggins_ @TVietor08 @danpfeiffer Sorry, but I only feel cheated by the crappy Dems rigging bo… https://t.co/Ttg9jcSmGI",,3118,1540
TRUMPMOMENTS411," I am running for re-election to bring prosperity to Nevada, to put violent criminals behind bars, and to ensure the fu…",,31128,34006
Jimmythehat1," If you are voting for @JoeBiden , please Retweet because I would like to follow you.
Thank you!",,181,487
happyguy7799,"This is your president, @SenatorCollins Actively promoting the spread of the virus-simultaneously making a… https://t.co/EtAJfTC2PN",,1566,846
LazonoJason," I’m a reporter covering Biden and traveled with him this week to Pennsylvania twice, Michigan and New York. None of those state…",,268,960
Miriam11004181," If the cartel managing #SlowJoeBiden manages to cheat this Trojan horse into the White House, America will be run by Ka…",['SlowJoeBiden'],83,8
ForgeRiver,"@JackPosobiec points out crowds such as these common for #Putin, #Erdogan, Rodrigo #Duterte, and others of the ilk… https://t.co/4HkV8GUTnk","['Putin', 'Erdogan', 'Duterte']",1157,2950
char_nee, Bloody Hell—Trump now attacking social distancing guidelines followed by  Biden campaign to reduce #COVID19 risk?! Talk abo…,['COVID19'],101,279
BregmanPs,@electroboyusa @JoeBiden @KamalaHarris Anyone who earns a living in the hospitality industry will pay for Trump's f… https://t.co/wz02zWEV54,,1159,3351
DoubleUDude,"@3horses4dogs @hollandcourtney ..+Biden is just the BY FAR lesser evil compared to a corrupt to the core,lawless,de… https://t.co/LWFvvkBIfF",,549,2269
FettGeo, Retweet if you are working to make @JoeBiden your favorite President.,,772,3651
abreen29364489," Thanks for calling out Trump’s lies, @jeneps. @JoeBiden will continue his heavy travel schedule over the coming weeks.…",,122,682
JimMcGi91988063,"RT @RobertCrosby00: I couldn't care less what Cher has to say but is that a threat or something?

She's crossing the line here‼️

https://t…",,3231,3904
ChrisBeattie64,"@JoeBiden Under the Obama-Biden administration it was buy someplace else, and not made in the USA.  Who you trying to fool.",,2,12
Pismo_B," 🤔#BLM attacked @Joy_Villa and her friends calling them racist

🤪A #LARP calling blacks racist and shoving people?

➡️These are t…","['BLM', 'LARP']",110890,61898
Voo64," @magaxxoo @AnnaApp91838450 Terminology Used By Race batting Lying Liberal Socialist Nd MSM,To Keep The Civil Unrest Go…",,3493,3792
theworldisended," I am running for re-election to bring prosperity to Nevada, to put violent criminals behind bars, and to ensure the fu…",,369,960
mpierce001," @realDonaldTrump Donald Trump cannot LEAD our country, because he does not BELIEVE in our country. He decried America as…",,89,358
Vince_Esq," If you are voting for @JoeBiden please Retweet, because I would like to follow you. Thank you!♥️",,20,144
mikecross53,RT @realDonaldTrump: I did more in 47 months as President than Sleepy Joe Biden did in 47 years! #MAGA https://t.co/EzcAswmrYE,['MAGA'],2045,4015
madeleinefalco," When Joe Biden defeats Trump in this election, I call on @jack to permanently suspend @realDonaldTrump's twitter accoun…",,208,409
deborahashley48, @CarmineSabia @realDonaldTrump Donald Trump should be investigated for encouraging voters in NC to commit a crime by voting…,,160,224
kaysea41," Thread about Florida. Trump MUST win Florida, period. No model has him losing Florida and winning 270 electoral votes. No…",,41,133
adamtho44223079,FINALLY! JOE BIDEN'S RAPE CASE RESURFACES AFTER YEARS OF BEING SUPPRESSED – WATCHDOG https://t.co/ccUuQcGGPv,,7,24
MyManMap,RT @Scorpio4Trump2: Stuff it Bob Woodward!  Your partisanship and hate are showing again loser😡😡. Biden on February 28: 'It's Not A Time To…,,32153,28431
CarrieHindenach," If you are voting for @JoeBiden please Retweet, because I would like to follow you. Thank you!♥️",,1218,1722
cliffhangernlv, @GayRepublicSwag I am not a Trump supporter but I ABSOLUTELY know what you say is true.  My FB is filled with people who s…,,11560,11726
irla1,RT @ChuckCallesto: REPORT: Trump calls for DRUG TESTS before Biden debate...,,107,247
Redskin25682208," Yes @JoeBiden &amp; @KamalaHarris, We The People deserve a President &amp; Vice President who have ALREADY proven they will spen…",,252,688
JaggedJewel44,@JoeBiden Hey joe you still in the basement?,,18,457
JohnSul77702742, @realDonaldTrump Is our media up to their task to report this?👇,,245,541
Politics_buff27," I am running for re-election to bring prosperity to Nevada, to put violent criminals behind bars, and to ensure the fu…",,690,1266
ffferrara66," Donald Trump isn't anybody's favorite President. He isn't even the President. He's an impostor and a traitor, and after h…",,2798,4997
AngelaGoetzke, .@JoeBiden DOES NOT want to defund the police. Please retweet this to help beat back the @realDonaldTrump big lie.,,21,96
Evpseattle, Donald Trump thinks the term 'the buck stops here' refers to money.,,139,454
CherylRGilmer1," Iran just executed wrestler Navid Afkari - an actual peaceful protestor - despite international calls for mercy.

Never…",,913,1525
Joni_Looking," @JoeBiden @KamalaHarris I love #BidenHarris! So excited to vote for #JoeBiden, #KamalaHarris, &amp; every single Dem on my ba…","['BidenHarris', 'JoeBiden', 'KamalaHarris']",5428,3882
jorinyc," Trump’s battle with the American military is a fight he’s likely to lose - With no concept of honour or sacrifice, the…",,1769,2717
benp7777,"@cynthiamckinney Re sexual abuse, we know Trump has abused children and adults, Clinton children and as for Biden,… https://t.co/h1A78oJ5U1",,888,2403
thoroughgood_j, There’s no greater sign that ⁦@realDonaldTrump⁩ is heading for a historic defeat than the fact Roger Stone is encouraging…,,36,537
MAGAsupportteam,"@realDonaldTrump THE FAMOUS T-Shirt For PRESIDENT DONALD TRUMP SUPPORTER. 
🍒 Get Yours Here 👉… https://t.co/8QhR3vWIQt",,8848,9731
SharkRadioNet,RT @SharkRadioNet: Trump team plots how to bust Biden in the debates – POLITICO #Malliard https://t.co/Ve9KzrJ1Bp,['Malliard'],2358,6
bot_africana," This is #KochNetwork propaganda &amp; disinfo that will go undetected by Twitter, Facebook, YouTube, etc. 
Michael, #Right…",['KochNetwork'],1285,576
CarstenOlop,"@SexCounseling @realDonaldTrump A bad joke! F.U. POTUS, playing golf next 5 years 👍🏼 you are of no use for more.  T… https://t.co/CE1fcKt5Ia",,5,50
JoniMFisher, 1. Is Biden running against himself?  He vote for NAFTA.  Now he opposes it.  He voted for the Iraq war.  Now he opposes…,,1776,2938
Grammie0753,RT @no_silenced: JUST IN:  Morocco and Israel announced they will establish direct flights as part of President Donald J. Trump’s Middle Ea…,,389,993
nothing_dave,RT @DoYouEvenLif: .@JoeBiden DOES NOT want to defund the police. Pass it on. https://t.co/CaRZPmRCMj,,2412,4997
KikiCha51132397,RT @SolomonYue: Commie #BeijingSophie is defending evil Uyghur Genocide committed by her Satan Fuhrer #Xitler again. https://t.co/N6jmzu2p63,"['BeijingSophie', 'Xitler']",43,49
natereeder1,RT @OliviaRaisner: Photos from @JoeBiden’s basement this week: https://t.co/ODPMPREYLR,,185,1355
lanesgramma20,"RT @atrupar: ""He wants to ban energy"" -- Trump on Biden. Just totally absurd. https://t.co/IvbbbXVNA8",,629,1851
VegasNativeToo,"@JoeBiden And just think, you and the entire Onama administrative sent them pallets of cash to make them stronger.… https://t.co/r0Dd6ChbqK",,1307,3513
pmd0902," It is Sunday, September 13, 2020. One citizen, I call for the removal from office by any legal means, the impeached fascis…",,2994,3501
aberslammer," I am running for re-election to bring prosperity to Nevada, to put violent criminals behind bars, and to ensure the fu…",,217,598
ForestDeity27,@DamianRanger1 @realDonaldTrump Biden is campaigning responsibly in a pandemic.  Trumpers don’t understand that bec… https://t.co/q2XuVViVcl,,0,12
mauisarc,RT @TheDailyEdge: The Crimes of Donald Trump (1/10) https://t.co/aRE5zKCBG2,,1186,1181
kellyraewaller," They estimate 8000 #TrumpParade supporters participated in the #CincinnatiTrumpParade 😆🎉
🚕🚒🚗🚛🚙🚓🛵🚒💨💨💨 #TrumpArmy 
@realDon…","['TrumpParade', 'CincinnatiTrumpParade', 'TrumpArmy']",424,903
D37Dirk,"@MiguelMrcuret @JoeBiden But we made it in Germany. ""Only"" 9200 dead and 500,000 unemployed more so far. But in the… https://t.co/e3bFGIgt1L",,10,36
Maggie222441660,@DanielleCandela @JoeBiden @KamalaHarris Your lies make you feel better? Hope so because they make you look ignorant,,27,65
ShellHuch,RT @MeidasTouch: We need a president who doesn’t watch 8 hours of TV each day.  https://t.co/2zNU5lMq8d,,1978,1748
scarletjinn,"RT @SethAbramson: BREAKING NEWS: Longtime Trump Adviser Roger Stone (Who Warranted a Whole Chapter in the Just-Released ""Proof of Corruptio…",,1692,2855
MrTruth_4U," I am running for re-election to bring prosperity to Nevada, to put violent criminals behind bars, and to ensure the fu…",,63,45
CtheFirefly," I’m a reporter covering Biden and traveled with him this week to Pennsylvania twice, Michigan and New York. None of those state…",,159,671
QofSwords3,"RT @MajorPatriot: Trump just said after the horrible ad Biden just ran lying about what Trump said about the military, all bets are off:  ""…",,2666,3141
DoctorHapp,@jonstewartbooks This will help Biden win in Florida. Unlock voters for him. Donations will pay the fees of returni… https://t.co/rPlmvlBmvF,,165,856
kmg10572," Joe Biden cannot LEAD our Country, because he does not BELIEVE in our Country. At Biden’s convention, they decried Ame…",,10562,10646
merica2010,@nypost Biden voters now turning to Satan for advice.   Interesting.,,217,713
linettemmar, Bloody Hell—Trump now attacking social distancing guidelines followed by  Biden campaign to reduce #COVID19 risk?! Talk abo…,['COVID19'],7,43
lincoln81977111,RT @MSNBC: Mary Trump: “Donald is a very sick man. He’s never going to get better. He’s only going to get worse. And if it suits his purpos…,,435,1000
DeborahCompass," Are you voting for @JoeBiden this Election? 
If Yes , please Retweet because I’d like to follow you.",,460,376
StevenMarkCase1,"RT @Msdesignerlady: Thank you, to Mike Bloomberg who will donate $60M to the Joe Biden campaign.

Promises kept. 

#Bloomberg 
https://t.co…",['Bloomberg'],11082,11170
Stephen82636295,@AngelaBelcamino @realDonaldTrump So you want to live under Communist rule when Biden sells out America to China to… https://t.co/uxLmZiPDb1,,5,24
2016_ing, Antiwar President Donald Trump has launched more air and drone strikes in Somalia over just the last year than Barack Obam…,,110,317
rachad71, A house a few streets over used to have a Biden sign out front. It's been replaced with a Trump sign!,,812,946
DeedeeSayso,RT @realDonaldTrump: I did more in 47 months as President than Sleepy Joe Biden did in 47 years! #MAGA https://t.co/EzcAswmrYE,['MAGA'],488,516
BodyPoliticUSA,@hyperactivedude @laflacasucia @MGKLH I agree. But we have the electoral college which is winner-take-all.  Only a… https://t.co/sHZciu8llg,,470,704
Eylem4561, Climate activists are as determined to flip the Senate as they are to oust President Donald Trump this fall. Even if the…,,44,682
BellGwyneth1981," @realDonaldTrump “Thank you Nevada! You made me, your favorite president, who’s incredibly insecure and needy, feel loved f…",,621,2585
dabrams2021, There’s no greater sign that ⁦@realDonaldTrump⁩ is heading for a historic defeat than the fact Roger Stone is encouraging…,,1943,3946
jadameldredge, Check out the teleprompter in the reflection. Biden blatantly read from a script for most of the interview with James Cord…,,52,535
BarrettBrief," I am running for re-election to bring prosperity to Nevada, to put violent criminals behind bars, and to ensure the fu…",,765,1582
bernieshq,"Always possible, it's politics. I am not feeling comfortable with that possibility either. However, MedicareForAll… https://t.co/OtEtPs09hj",,7501,5860
MattTemp3,@anthonyharryjnr @JoeBiden @realDonaldTrump Sleepy Donald. Donald Pandemics. Trump Failure. Sleepy trump approves Russian bounties,,20,44
Carls_Lexicon,RT @Hepworthclare: Roger Stone to Donald Trump: bring in martial law if you lose election https://t.co/roQJqFBVYO,,210,410
deirdrehf," I’m a reporter covering Biden and traveled with him this week to Pennsylvania twice, Michigan and New York. None of those state…",,10,129
danander11,@hmorley29 @kenolin1 @JoeBiden @realDonaldTrump Try myspace.,,952,2622
pmd0902,"It is Sunday, September 13, 2020. One citizen, I call for the removal from office by any legal means, the impeached… https://t.co/VQqxHOly1f",,2994,3501
Deech932," Joe Biden cannot LEAD our Country, because he does not BELIEVE in our Country. At Biden’s convention, they decried Ame…",,815,1501
biafra_di_nso," @StateDept I'm following from the land of the rising sun, BIAFRA. I love the United States of America. I love Donald Trum…",,753,2281
DERM0,RT @OliviaRaisner: Photos from @JoeBiden’s basement this week: https://t.co/ODPMPREYLR,,103,160
queenlilhop, Retweet if you follow @KamalaHarris and @JoeBiden,,314,698
SidneyCLSilva1,RT @realDonaldTrump: I did more in 47 months as President than Sleepy Joe Biden did in 47 years! #MAGA https://t.co/EzcAswmrYE,['MAGA'],323,617
Pam19862580, We have to amplify @JoeBiden’s presence on this platform. It’s crazy that @realDonaldTrump has so many more followers - or le…,,14,28
CherylR2020, I’m old enough to remember when guys like Joe Biden weren’t allowed within 500 ft of schools,,462,1399
ImmaCob2,@Cannydc1 @LindaSuhler @realDonaldTrump Hard to believe that any woman of intelligence and retaining her dignity co… https://t.co/v9SXnixn0U,,675,1148
JamesBossman8,"an inconvenient truth 

 was this during the time he was having an affair with Jill?

https://t.co/aFplKJGNXm",,174,74
arashkamangir2," Joe Biden cannot LEAD our Country, because he does not BELIEVE in our Country. At Biden’s convention, they decried Ame…",,173,294
ricardojenez,"RT @MeidasTouch: Donald Trump’s lifelong history of racism is well documented. We must #VoteOutRacism. 

 https://t.co/SETGZUlhIy",['VoteOutRacism'],31,647
Lylabug2," Retweet if you want to help @JoeBiden get another 100,000 followers this weekend",,113,239
paula_myrick," Throughout the course of history we have been warned. We are on the precipice.

1984 warned us (the book)
President Ei…",,4338,4784
Room40_OB,"Roger Stone, has said Trump should seize total power and jail prominent figures including Bill and Hillary Clinton… https://t.co/wL6Yer76qd",,62,1008
christo07428286," Are you voting for @JoeBiden this Election? 
If Yes , please Retweet because I’d like to follow you.",,12,33
ReginaAnnKydd,"RT @matthewjdowd: Something for the media and everyone to keep in mind:  Biden has a much larger lead today than Bush (2000 and 2004), Obam…",,126,704
TakeoutDS," @realDonaldTrump I’m voting for Donald Trump because he supports our police. 

The democrats want to get rid of our polic…",,397,355
peppersas,When is your daughter Ivanka going to show the private emails that she sent to China for her businesses? Lock her u… https://t.co/F24vCpsFQJ,,9,19
kstuck93, If Biden press secretary TJ Ducklo is what colleges and universities are turning out these days you MIGHT want to homes…,,402,348
dee_reyes1," @realDonaldTrump SEPTEMBER '09- 6 MONTHS INTO THE STIMULUS
Joe Biden in Pittsburgh, frustrated having to defend the spe…",,475,1089
chemoelectric, @SpiroAgnewGhost @realDonaldTrump I was a member of the GOP 1985-2016 inspired by Reagan.  I became an independent afte…,,2515,3263
MAGAsupportteam,"@realDonaldTrump THE FAMOUS T-Shirt For PRESIDENT DONALD TRUMP SUPPORTER. 
🍒 Get Yours Here 👉… https://t.co/gyQtQ2qcXt",,8848,9731
girlforce45," Welcome to Biden’s America
Welcome to the Democrats way of life
Welcome to fear
You’re welcome to stop this in November

#Reme…",,47051,33721
SandraC84853567," I live my life of chronic illness, Lupus &amp; being a cancer survivor on Twitter these last 4 years because our health care…",,16,98
blarvatz," Let's retweet this, and spread it all over Twitter!  Let's make this the most watched video today!

If enough people see…",,47,283
ramtin5790asli,"@JoeBiden You are talking about the very same regime that you and Mullahbama paid them 150b$ to them.
We Iranian ne… https://t.co/iFU98XJ6Jb",,4355,3144
Fr33Th0ught,RT @MSNBC: Mary Trump: “Donald is a very sick man. He’s never going to get better. He’s only going to get worse. And if it suits his purpos…,,85,85
Staggerwing6," Joe Biden cannot LEAD our Country, because he does not BELIEVE in our Country. At Biden’s convention, they decried Ame…",,6,53
littleboy2020,"RT @michaeljohns: #Biden subscribes to ""one of the biggest foreign policy lies ever told: that #China’s economic ascent would lead to moder…","['Biden', 'China']",34,83
LydisDeckers,"RT @MeidasTouch: Donald Trump’s lifelong history of racism is well documented. We must #VoteOutRacism. 

 https://t.co/SETGZUlhIy",['VoteOutRacism'],3276,3878
angie_keathly," #SundayMorning 

With #Trump , the priority is not American lives when there is
💰💰💰💰💰💰💰 to be made.

#TrumpVirusDeathToll…","['SundayMorning', 'Trump']",16960,17117
aaron_wallisch," Hey @KamalaHarris and @JoeBiden, will you condemn these actions?

Or will you and @TheDemocrats defend the cop-shooters?",,10,93
GeostompX," Doubt they are a cult?
Just yesterday there was highly damaging proof that this president lied about the severity of c…",,1813,4990
castillo321," @realDonaldTrump Joe Biden, Kamala Harris, et al and the media are responsible for putting targets on the police",,3617,5015
jhead77,RT @HeyTammyBruce: Why Biden Will Withdraw From the Debates: It’s the only way for Joe’s handlers to save him from himself https://t.co/Esy…,,3599,2381
felicitydotnet,@JoeBiden I'm sure you just copied what Trump said earlier . You kneel to rioters,,299,1532
Evpseattle,RT @TeaPainUSA: FUN FACT: Donald Trump watches more TV than most people who are paid to watch TV.,,139,454
Dolcissima," I’m a reporter covering Biden and traveled with him this week to Pennsylvania twice, Michigan and New York. None of those state…",,523,571
GiuliaCesare2,RT @realTuckFrumper: Our Government Is Broken. President Biden Must Fix That. https://t.co/VvtrIvlVU9,,1497,3172
AHatefulMate," If you care about anything in this world, there is simply only one option for your Presidential vote this November &amp; that i…",,53,134
kellyraewaller,"RT @WLWT: WATCH: A parade in support of President Donald Trump took place Saturday, circling around Cincinnati's Interstate 275 loop. https…",,424,903
janalee65, @realDonaldTrump In a Biden presidency (never happen) they will bring him up from Bunker now and then for photo opp. He wou…,,1280,2207
KatCeccotti," After you're done writing letters, please give to the Florida Democratic Party! Remember, Obama won Florida twice. Biden…",,7350,7977
SteveAn1012," FLORIDA DUDE POLL.  South Carolina Trump 58%, Biden 36%.",,10300,10973
Lindy255," Don’t take comfort in any of the polls. The polls should actually make you furious. 

Furious that 40% of Americans st…",,2072,1939
gcherrick,"And, it's Donald J. Trump's fault.",,188,591
gr8chefsintown,RT @EyesOnQ: Biden is leading in the polls 🤣🤣🤣 https://t.co/B8zCRUK9sD,,1402,5003
AngelusMerula, .@JoeBiden DOES NOT want to defund the police. Pass it on.,,729,1779
debragarrett," I am running for re-election to bring prosperity to Nevada, to put violent criminals behind bars, and to ensure the fu…",,13057,2377
Joni_Looking,"RT @goaloa: @EarlOfEnough @JoeBiden @KamalaHarris Saturday Inspiration:

Trump is afraid of Biden.

Trump has always been afraid of Biden.…",,5428,3882
EiHip,RT @MSNBC: Mary Trump: “Donald is a very sick man. He’s never going to get better. He’s only going to get worse. And if it suits his purpos…,,51,206
lamb_kim," Donald Trump is the President who has kept his promises. He is bringing 
manufacturing jobs back  to America, building…",,1292,1098
AprilWorld, In FL mailed ballots are counted BEFORE day-of ballots at the polls. So there will be a result. Trump can’t cry foul; afte…,,1277,323
