Username,Text,Hashtags,Followers,Friends
BanksyHoodies,"The Banksy Shop UK, Banksy Hoodies, Banksy T-Shirts &amp; Banksy Clothing
For Orders kindly visit us:… https://t.co/9o5cJch0rZ",,35,393
lola_goetz," Holy crap these cowards are unhinged. #BLM ATTACKED us, screaming “RACIST” in our faces, shoving our women &amp; children. 

I W…",['BLM'],1850,2997
sharihope1," After Shutting Down His Campaign For the Day, Joe #Biden Lashes Out at President #Trump For Holding #Rallies in #Nevada T…","['Biden', 'Trump', 'Rallies', 'Nevada']",3672,4647
snackqueen13,"#CancelNetflx #SaveTheChildren #SaveOurChildren 

You can not only speak up for the Netflix children being exploite… https://t.co/61aQDmDWok","['CancelNetflx', 'SaveTheChildren', 'SaveOurChildren']",757,694
elianatrue, Every election cycle #Democrats and their #Antifa and #BLM funded agitators gin up hatred of the police to get votes. W…,"['Democrats', 'Antifa', 'BLM']",89824,86606
NJSnowFan, Every election cycle #Democrats and their #Antifa and #BLM funded agitators gin up hatred of the police to get votes. W…,"['Democrats', 'Antifa', 'BLM']",4564,2507
monika_dryburgh, New to me! A patient with fatigue/brain fog developed allergy to longstanding perfume 2-3m after #COVIDー19 (now resolve…,['COVIDー19'],393,528
unshodrunner," Holy crap these cowards are unhinged. #BLM ATTACKED us, screaming “RACIST” in our faces, shoving our women &amp; children. 

I W…",['BLM'],7,66
Scottforusa,"RT @MarkSimoneNY: Joe Biden: “No one making under $400,000, which is more money than I've ever made, is going to have to pay more taxes.""…",,2587,3372
PaulisaWilliams," - Breonna Taylor 
- Elijah McClain 
- Ahmaud Arbery 
- Trayvon Martin 
- George Floyd 
- Philando Castile
- Tamir Rice…",,1470,507
hansen_nanook4, Every election cycle #Democrats and their #Antifa and #BLM funded agitators gin up hatred of the police to get votes. W…,"['Democrats', 'Antifa', 'BLM']",882,87
CindySn92273288,#Trump in #Nevada is scary with #TrumpMeltdown rhetoric aligning with #Fascist #Communist #TrumpDictatorship  clues… https://t.co/tfQd6OW6ip,"['Trump', 'Nevada', 'TrumpMeltdown', 'Fascist', 'Communist', 'TrumpDictatorship']",4,36
sonechkousa, Every election cycle #Democrats and their #Antifa and #BLM funded agitators gin up hatred of the police to get votes. W…,"['Democrats', 'Antifa', 'BLM']",6394,6956
alcarmona175, Every election cycle #Democrats and their #Antifa and #BLM funded agitators gin up hatred of the police to get votes. W…,"['Democrats', 'Antifa', 'BLM']",244,353
kevinjo92298384,"RT @zeusFanHouse: #Trump Campaign Reaches #Milestone:Knocks on Door of 12 Million Voters in #SwingStates

#RNC reached milestone this wk ma…","['Trump', 'Milestone', 'SwingStates', 'RNC']",936,2203
Rikijean1," Wow 🤩 NAVADA LOVES @realDonaldTrump 🇺🇸👊🏼🇺🇸 

so do normal AMERICANS! 

#RedWave2020 ♥️
#VoteRedToSaveAmerica2020 #Trump…","['RedWave2020', 'VoteRedToSaveAmerica2020', 'Trump']",4974,5300
GirlJustice_,"195,000 Americans dead is not “an incredible job. 

#Trump
#TrumpLiedAmericansDied","['Trump', 'TrumpLiedAmericansDied']",2868,2640
ma_krila," - Breonna Taylor 
- Elijah McClain 
- Ahmaud Arbery 
- Trayvon Martin 
- George Floyd 
- Philando Castile
- Tamir Rice…",,1487,1110
Kris76574978," After Shutting Down His Campaign For the Day, Joe #Biden Lashes Out at President #Trump For Holding #Rallies in #Nevada T…","['Biden', 'Trump', 'Rallies', 'Nevada']",132,779
deepak_space,"People who bash the #stockmarket &amp; say it has nothing to do w/ the real #economy.

I argue that 70% of American cit… https://t.co/JFMnbrowez","['stockmarket', 'economy']",24,95
Lnr57," 🦅Patriot Warriors!! 🦅
#SAVETHECHILDREN 
@AnnieGetHerGun 
@PatriotTrue2U 
@Ricphyl 
@RPatz257 
@Beanie_girl89 
@fit4aque…",['SAVETHECHILDREN'],42555,45317
TrubbellAtMill," - Breonna Taylor 
- Elijah McClain 
- Ahmaud Arbery 
- Trayvon Martin 
- George Floyd 
- Philando Castile
- Tamir Rice…",,2031,4562
derekburney, Every election cycle #Democrats and their #Antifa and #BLM funded agitators gin up hatred of the police to get votes. W…,"['Democrats', 'Antifa', 'BLM']",85,176
